movieid;cast;director;writer;genres
4131;John Malkovich,Ann Magnuson,Glenne Headly,Ben Masters,Polly Bergen;Susan Seidelman;;Comedy,Romance
4132;Andrew McCarthy,Kim Cattrall,Estelle Getty,James Spader,G. W. Bailey;Michael Gottlieb;;Fantasy,Comedy,Romance
4133;Dolph Lundgren,Frank Langella,Meg Foster,Billy Barty,Courteney Cox;Gary Goddard;;Action,Fantasy,Sci-Fi,Adventure,Thriller
4134;Tom Bosley,Rick Overton,Eddie Deezen,Kevin Pollak,Penny Baker;Richard Fleischer;;Comedy,Thriller
4135;Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,Ryan Lambert;Fred Dekker;Shane Black,Fred Dekker;Horror,Comedy,Action,Fantasy,Sci-Fi
4136;Colin Firth,Kenneth Branagh,Jim Carter,John Atkinsons,Patrick Malahide;Pat O'Connor;;Drama
4137;Jon Cryer,Paul Gleason,Lynn Redgrave;Paul Aaron,Terry Winsor;;Drama,Comedy,Family
4138;Scott Valentine,Michele Little,Robert Trebor,Gina Gallego,Alan Fudge;Charlie Loventhal;Leslie Ray;Comedy,Fantasy,Horror,Romance
4139;Charlie Sheen,Lara Harris,D. B. Sweeney,Randy Quaid,Bill Duke;Peter Werner;Dick Wolf;Action,Drama,Thriller
4140;Matt Adler,Gregory Harrison,Nia Peeples,John Philbin,Gerry Lopez;William Phelps;Randal Kleiser,William Phelps;Action,Drama,Romance
4141;Monica Potter,Freddie Prinze Jr.,Shalom Harlow,Ivana Miličević,Sarah Murdoch;Mark Waters;John J. Strauss;Comedy,Romance
4142;Kirk Cameron,Brad Johnson,Janaya Stephens,Gordon Currie,Clarence Gilyard Jr.;Vic Sarin;Alan B. McElroy,Paul Lalonde,Joe Goodman;Drama,Fantasy,Sci-Fi,Thriller
4143;Denise Richards,David Boreanaz,Marley Shelton,Jessica Capshaw,Jessica Cauffiel;Jamie Blanks;;Horror,Thriller
4144;Tony Leung Chiu-Wai,Maggie Cheung,Rebecca Pan,Kelly Lai Chen,Siu Ping-Lam;Wong Kar-wai;;Drama,Romance
4145;Henry Thomas,Teri Hatcher,David O'Hara,Bill Duke;Alex Winter;Alex Winter;Drama,Thriller
4146;Mel Gibson,Milla Jovovich,Jeremy Davies,Amanda Plummer,Peter Stormare;Wim Wenders;;Drama,Thriller
4147;Fernando Ramallo,Jordi Vilches,Marieta Orozco,Esther Nubiola,Chisco Amado;Cesc Gay;Jordi Sánchez;Drama,Comedy,Romance
4148;Anthony Hopkins,Julianne Moore,Gary Oldman,Ray Liotta,David Andrews;Ridley Scott;;Crime,Drama,Thriller,Horror
4149;Jason Biggs,Steve Zahn,Jack Black,Amanda Peet,Amanda Detmer;Dennis Dugan;;Comedy,Romance,Crime
4150;Stellan Skarsgård,Charlotte Rampling,Deborah Kara Unger;Jonathan Nossiter;;Drama,Foreign
4151;Jean-Pierre Bacri,Alain Chabat,Anne Alvaro,Agnès Jaoui,Christiane Millet;Agnès Jaoui;;Drama,Comedy,Romance
4152;Gérard Depardieu,Uma Thurman,Tim Roth,Timothy Spall,Julian Glover;Roland Joffé;;History,Drama,Romance
4153;Chris Rock,Regina King,Chazz Palminteri,Eugene Levy,Frankie Faison;Chris Weitz,Paul Weitz;;Fantasy,Comedy,Sci-Fi,Romance
4154;Rickey D'Shon Collins,Jason Davis,Ashley Johnson,Courtland Mead,Pamela Adlon;Chuck Sheetz;;Animation,Comedy,Family
4155;Keanu Reeves,Charlize Theron,Jason Isaacs,Greg Germann,Lauren Graham;Pat O'Connor;;Drama,Romance
4156;Reathel Bean,Harriet Koppel,Douglas McGrath,Sigourney Weaver,Terry Beaver;Peter Askin,Douglas McGrath;Douglas McGrath,Peter Askin;Action,Comedy
4157;Danielle Cormack,Karl Urban,Willa O'Neill,Michael Lawrence;Harry Sinclair;Harry Sinclair;Comedy,Drama,Foreign,Romance
4158;Brendan Fraser,Bridget Fonda,John Turturro,Chris Kattan,Giancarlo Esposito;Henry Selick;;Adventure,Fantasy,Animation,Action,Comedy
4159;Kurt Russell,Kevin Costner,Courteney Cox,Christian Slater,Kevin Pollak;Demian Lichtenstein;;Action,Adventure,Comedy,Thriller,Crime
4160;Daniel Auteuil,Emir Kusturica,Juliette Binoche,Michel Duchaussoy,Philippe Magnan;Patrice Leconte;Claude Faraldo,Patrice Leconte;Romance,Drama
4161;Brad Pitt,Julia Roberts,James Gandolfini,J.K. Simmons,Gene Hackman;Gore Verbinski;;Action,Comedy,Crime,Romance
4162;Michael Clarke Duncan,David Arquette,Leslie Bibb,Joe Viterelli,Steve Schirripa;John Whitesell;Gregory Poirier,Dan Baron,Chris Faber,George Gallo;Action,Comedy,Family
4163;Carman,Michael Nouri,Patricia Manterola,Jeremy Williams,Jed Allan;Lee Stanley;;Drama,Action
4164;Samuel L. Jackson,Colm Feore,Ann Magnuson,Aunjanue Ellis,Tamara Tunie;Kasi Lemmons;George Dawes Green;Drama,Mystery,Thriller
4165;Regina Casé,Lima Duarte,Stênio Garcia,Luiz Carlos Vasconcelos;Andrucha Waddington;Elena Soarez;
4166;Brooke Smith,Mark Woodbury,Michael Kaycheck,Marylouise Burke,Richard Venture;Daniel Minahan;Daniel Minahan;Action,Comedy,Thriller
4167;Robert De Niro,Charlize Theron,Edward Burns,Kelsey Grammer,Avery Brooks;John Herzfeld;John Herzfeld;Action,Crime,Thriller
4168;Kirsten Dunst,Ben Foster,Melissa Sagemiller,Colin Hanks,Zoe Saldana;Tommy O'Haver;;Comedy,Romance
4169;Alan Rickman,Josh Hartnett,Natasha Richardson,Rachael Leigh Cook,Rachel Griffiths;Paddy Breathnach;Simon Beaufoy;Comedy,Drama
4170;Michael Parducci,Peter Jacobson,Judy Prescott,Kerr Smith,Hoyt Richards;Christopher Livingston;;
4171;;Deborah Hoffmann,Frances Reid;;Documentary
4172;Noah Taylor;Ben Hopkins;;
4173;Chris McHallem,Flora Montgomery,Peter McDonald;Kieron J. Walsh;;
4174;Leo Fuchs,Eve Gordon,Lou Jacobi,Armin Mueller-Stahl,Elizabeth Perkins;Barry Levinson;;Drama
4175;Spalding Gray,Mike McLaughlin,Melissa Robertson,Alyne Hargroder;Steven Soderbergh;Spalding Gray,Renée Shafransky;Comedy,Drama
4176;Tatsuo Matsumura,Kyôko Kagawa,Hisashi Igawa,George Tokoro,Masayuki Yui;Akira Kurosawa;Akira Kurosawa;Drama
4177;Angela Lansbury,Geraldine Chaplin,Tony Curtis,Edward Fox,Rock Hudson;Guy Hamilton;;Crime,Thriller,Mystery
4178;Burgess Meredith,Betty Field,Lon Chaney Jr.,Charles Bickford,Roman Bohnen;Lewis Milestone;;Drama
4179;Fernando Ramos da Silva,Jorge Julião,Gilberto Moura,Zenildo Oliveira Santos,Marília Pêra;Hector Babenco;;Drama,Crime
4180;Linda Carol,Wendy O. Williams,Pat Ast,Sybil Danning,Charlotte McGinnis;Tom DeSimone;;Action,Comedy,Crime
4181;John Cusack,Tim Robbins,Mary Crosby,Clu Gulager,Katy Boyer;Bill Fishman;;Comedy,Drama
4182;James Spader,Kim Richards,Paul Mones,Robert Downey Jr.,Matt Clark;Fritz Kiersch;;Drama,Action,Romance
4183;Adrienne Shelly,Robert John Burke,Chris Cook,Julia McNeal,Katherine Mayfield;Hal Hartley;Hal Hartley;Comedy,Drama,Romance
4184;Cary Grant,Loretta Young,David Niven,Monty Woolley,James Gleason;Henry Koster;;Comedy,Drama,Fantasy,Romance
4185;Elvis Presley,James Burton,John Wilkinson,Jerry Scheff,Glen D. Hardin;Denis Sanders;;Music,Documentary
4186;Jack Lemmon,Walter Matthau,Ron Rich,Judi West,Cliff Osmond;Billy Wilder;;Romance,Comedy
4187;Sidney Poitier,Lilia Skala,Isa Crino,Lisa Mann;Ralph Nelson;;Comedy,Drama
4188;Danny Kaye,Farley Granger,Zizi Jeanmaire,Joseph Walsh,Philip Tonge;Charles Vidor;;Music,Romance,Family
4189;Max von Sydow,Michael Anderson Jr.,Carroll Baker,Ina Balin,Victor Buono;George Stevens;;Drama,History
4190;Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Shirley Jones;Richard Brooks;;Drama
4191;Michael Caine,Shelley Winters,Millicent Martin,Julia Foster,Jane Asher;Lewis Gilbert;;Comedy,Drama,Romance
4192;Victor Mature,Susan Hayward,Michael Rennie,Debra Paget,Anne Bancroft;Delmer Daves;;Action,Adventure,Drama,History
4193;Joel Gray,Brad Sullivan,Joey McIntyre,Jean Louisa Kelly;Michael Ritchie;;Comedy,Drama,Music,Romance,Sci-Fi
4194;Wendy Hiller,Roger Livesey,Pamela Brown,Finlay Currie,George Carney;Michael Powell,Emeric Pressburger;Michael Powell,Emeric Pressburger;Drama,Romance
4195;Vincent Price,Joseph Cotten,Virginia North,Terry-Thomas,Sean Bury;Robert Fuest;;Comedy,Horror
4196;Boris Karloff,Nick Adams,Freda Jackson,Suzan Farmer,Terence De Marney;Daniel Haller;;Drama,Horror,Thriller,Sci-Fi,Foreign
4197;Albert Brooks,Charles Grodin,Frances Lee McCain,Joseph Schaffler,Phyllis Quinn;Albert Brooks;Albert Brooks,Monica Mcgowan Johnson,Harry Shearer;Comedy
4198;Richard Thomas,Robert Vaughn,John Saxon,George Peppard,Darlanne Fluegel;Jimmy T. Murakami;John Sayles;Sci-Fi
4199;Jean-Claude Van Damme,Robert Guillaume,Cynthia Gibb,Patrick Kilpatrick,Art LaFleur;Deran Sarafian;David S. Goyer;Action,Crime,Drama,Mystery,Thriller
4200;Jean-Claude Van Damme,Geoffrey Lewis,Alonna Shaw,Cory Everson,Philip Chan Yan-Kin;Sheldon Lettich;;Thriller,Action,Crime,Drama
4201;Burt Reynolds,Dom DeLuise,Sally Field,Strother Martin,David Steinberg;Burt Reynolds;;Comedy
4202;Burt Reynolds,Tom Skerritt,Jack Weston,Raquel Welch,Yul Brynner;Richard A. Colla;;Comedy,Crime,Drama
4203;Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin,Giancarlo Esposito;Simon Wincer;;Action,Thriller
4204;Tom Cruise,Jackie Earle Haley,John Stockwell,John P. Navin, Jr.,Shelley Long;Curtis Hanson;;Comedy
4205;Cher,Winona Ryder,Christina Ricci,Bob Hoskins,Michael Schoeffling;Richard Benjamin;;Comedy,Drama,Romance
4206;Denzel Washington,James Fox,Mimi Rogers,M. Emmet Walsh,Sheryl Lee Ralph;Carl Schenkel;;Action,Comedy,Mystery,Thriller
4207;;;;Action,Adventure,War
4208;;Nicholas Barker;;Comedy
4209;Charlie Sheen,Emilio Estevez,Tracy Hutson,Nicole de Boer,Terry O'Quinn;Emilio Estevez;;Drama
4210;William Petersen,Kim Greist,Dennis Farina,Brian Cox,Joan Allen;Michael Mann;;Crime,Horror,Thriller
4211;Glenn Close,Jeremy Irons,Ron Silver,Annabella Sciorra,Uta Hagen;Barbet Schroeder;;Mystery,Drama
4212;Peter Ustinov,Mia Farrow,Simon MacCorkindale,Lois Chiles,Angela Lansbury;John Guillermin;;Mystery
4213;Taurean Blacque,Nancy Everhard,Greg Evigan,Miguel Ferrer,Nia Peeples;Sean S. Cunningham;;Action,Horror,Thriller,Sci-Fi
4214;Robert Carradine,Anthony Edwards,Timothy Busfield,Andrew Cassese,Curtis Armstrong;Jeff Kanew;Tim Metcalfe,Miguel Tejada-Flores,Jeff Buhai,Steve Zacharias;Comedy
4215;Robert Carradine,Curtis Armstrong,Larry B. Scott,Timothy Busfield,Courtney Thorne-Smith;Joe Roth;Tim Metcalfe;Comedy
4216;Campbell Scott,Patrick Cassidy,John Dossett,Mary-Louise Parker,Welker White;Norman René;;Drama
4217;Maxine McNair,Chris McNair,Helen Pegues,Queen Nunn,Arthur Hanes Jr.;Spike Lee;;Documentary
4218;Crispin Glover,Keanu Reeves,Ione Skye,Daniel Roebuck,Dennis Hopper;Tim Hunter;Neal Jimenez;Crime,Drama
4219;Sarah Jessica Parker,Lee Montgomery,Helen Hunt,Morgan Woodward,Ed Lauter;Alan Metter;Amy Spies;Comedy,Family,Music,Romance
4220;Burt Reynolds,Eddie Albert,Ed Lauter,Bernadette Peters,Michael Conrad;Robert Aldrich;;Crime,Comedy,Drama
4221;Scott Bakula,Héctor Elizondo,Robert Loggia,Larry Miller,Sinbad;Stan Dragoti;Rick Natkin,David Fuller;Comedy
4222;John Heard,Daniel Stern,Christopher Curry,Kim Greist,Laure Mattos;Douglas Cheek;Shepard Abbott;Horror,Sci-Fi
4223;Jude Law,Rachel Weisz,Ed Harris,Joseph Fiennes,Bob Hoskins;Jean-Jacques Annaud;;War
4224;Steven Seagal,DMX,Isaiah Washington,Anthony Anderson,Bill Duke;Andrzej Bartkowiak;;Action,Crime,Thriller
4225;Sam Neill,Patrick Warburton,Kevin Harrington,Tom Long,Eliza Szonert;Rob Sitch;;History,Comedy,Drama
4226;Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega;Christopher Nolan;;Mystery,Thriller
4227;Morris Chestnut,D. L. Hughley,Bill Bellamy,Shemar Moore,Tatyana Ali;Gary Hardwick;;Comedy,Drama,Romance
4228;Sigourney Weaver,Jennifer Love Hewitt,Ray Liotta,Gene Hackman,Jason Lee;David Mirkin;;Crime,Comedy,Romance
4229;Chris Klein,Heather Graham,Orlando Jones,Sally Field,Richard Jenkins;J.B. Rogers;Gerry Swallow,Peter Gaulke;Comedy,Romance
4230;;David Maquiling;;
4231;Ashley Judd,Greg Kinnear,Hugh Jackman,Marisa Tomei,Ellen Barkin;Tony Goldwyn;;Comedy,Romance
4232;Alexa PenaVega,Daryl Sabara,Antonio Banderas,Carla Gugino,Alan Cumming;Robert Rodriguez;Robert Rodriguez;Action,Comedy,Family,Adventure
4233;Jerry O'Connell,Shannon Elizabeth,Jake Busey,Horatio Sanz,Bernie Casey;Gregory Poirier;;Comedy,Romance
4234;Pierce Brosnan,Geoffrey Rush,Jamie Lee Curtis,Leonor Varela,Brendan Gleeson;John Boorman;;Drama,Thriller
4235;Gael García Bernal,Vanessa Bauche,Goya Toledo,Alvaro Guerrero,Emilio Echevarría;Alejandro González Iñárritu;;Drama,Thriller
4236;Tobias Schneebaum,Norman Mailer,Michael Nelson Rockefeller;David Shapiro,Laurie Gwen Shapiro;;Documentary
4237;Bodan Litnanski,Agnès Varda,François Wertheimer;Agnès Varda;Agnès Varda;Documentary,Foreign
4238;Morgan Freeman,Monica Potter,Michael Wincott,Dylan Baker,Mika Boorem;Lee Tamahori;;Crime,Mystery,Thriller,Action
4239;Johnny Depp,Penélope Cruz,Ethan Suplee,Ray Liotta,Franka Potente;Ted Demme;;Crime,Drama
4240;Jean Reno,Christina Applegate,Christian Clavier,Matt Ross,Tara Reid;Jean-Marie Poiré;;Comedy,Fantasy,Sci-Fi
4241;Veronica Taylor,Rachael Lillis,Eric Stuart;Michael Haigney,Kunihiko Yuyama;;Adventure,Fantasy,Animation,Action,Family
4242;Rachel Weisz,Susan Lynch,Iain Glen,Jake D'Arcy,Tom Mannion;Bill Eagles;;Comedy,Crime,Drama,Thriller
4243;Richard Dutcher,Matthew A. Brown,Wilford Brimley;Richard Dutcher;Richard Dutcher;Crime,Drama,Mystery,Thriller
4244;Fatemeh Cherag Akhar,Hassan Nebhan,Shahr Banou Sisizadeh,Ameneh Passand,Shabnam Toloui;Marzieh Makhmalbaf;;Drama,Foreign
4245;Jared Harris,Xia Yu,Yufei Xing,Peiqi Liu,Liping Lü;Ann Hu;Yixiong Chen,Dan Huang,Huaizhuo Liu,Bob McAndrew,Kate Raisz,Louyi Tang,Shiqiang Zuo,Ann Hu;Drama,Foreign,History
4246;Renée Zellweger,Colin Firth,Hugh Grant,Gemma Jones,Jim Broadbent;Sharon Maguire;;Comedy,Romance,Drama
4247;David Spade,Brittany Daniel,Dennis Miller,Adam Beach,Jaime Pressly;Dennie Gordon;;Mystery,Adventure,Comedy,Romance,Drama
4248;Rachael Leigh Cook,Rosario Dawson,Tara Reid,Gabriel Mann,Alan Cumming;Harry Elfont,Deborah Kaplan;Deborah Kaplan,Harry Elfont;Comedy,Music
4249;Daniel Gillies,Rachael Leigh Cook,Seth Green,John Lyons Murphy,Selma Blair;John Lyons Murphy,Paiman Kalayeh;John Lyons Murphy,Paiman Kalayeh;Comedy
4250;Antonio Banderas,Olivia Williams,Jason Flemyng,John Shrapnel,Derek Jacobi;Jonas McCord;;Drama,Mystery,Romance,Thriller
4251;Eric Bana,Simon Lyndon,David Field,Bill Young,Daniel Wyllie;Andrew Dominik;;Crime,Drama,Thriller
4252;Nargess Mamizadeh,Maryiam Palvin Almani,Mojgan Faramarzi,Elham Saboktakin,Monir Arab;Jafar Panahi;Kambuzia Partovi;Drama,Foreign
4253;Peter Falk,Charles Durning,Denis Leary,Robert Forster;Joe Mantegna;;
4254;Paul Hogan,Linda Kozlowski,Jere Burns,Jonathan Banks,Alec Wilson;Simon Wincer;;Adventure,Comedy
4255;Tom Green,Rip Torn,Marisa Coughlan,Eddie Kaye Thomas,Harland Williams;Tom Green;;Comedy
4256;Shane Edelman,Peter Sarsgaard,Molly Parker,Karry Brown,Alisha Klass;Wayne Wang;Wayne Wang,Miranda July;Drama,Romance
4257;Konkona Sen Sharma,Sabyasachi Chakraborty,Debashree Roy,Suchita Ray Chaudhury,Bhola Dutta;Subrata Sen;;Drama,Thriller,Romance
4258;Aidan Gillen,Kate Ashfield,Alicia Eyo,Tobias Menzies,Dean Lennox Kelly;Jamie Thraves;Jamie Thraves;Comedy,Drama
4259;John Turturro,Emily Watson,Geraldine James;Marleen Gorris;;Drama,Foreign,Romance
4260;;;;Drama
4261;Brent Carver,Marcel Sabourin,Aubert Pallascio,Jason Cadieux,Matthew Ferguson;John Greyson;;Drama,Fantasy,Romance
4262;Al Pacino,Steven Bauer,Michelle Pfeiffer,Mary Elizabeth Mastrantonio,Robert Loggia;Brian De Palma;;Action,Crime,Drama,Thriller
4263;Jack Lemmon,Lee Remick,Charles Bickford,Jack Klugman,Alan Hewitt;Blake Edwards;J.P. Miller;Drama,Romance
4265;Kip Pardue,Robert Sean Leonard,Til Schweiger,Estella Warren,Sylvester Stallone;Renny Harlin;;Action
4266;Kerr Smith,Brendan Fehr,Izabella Miko,Johnathon Schaech;J.S. Cardone;;Action,Adventure,Horror,Thriller
4267;Matt Dillon,Liv Tyler,Mary Jo Smith,Michael Douglas,Paul Reiser;Harald Zwart;;Action,Comedy,Crime
4268;Warren Beatty,Diane Keaton,Goldie Hawn,Garry Shandling,Andie MacDowell;Peter Chelsom;Buck Henry;Comedy,Romance
4269;Imelda Staunton,Frank Kelly,David Wilmot,Kerry Condon,Andrew Lovern;Steve Barron;Wesley Burrowes;Drama,Fantasy,Comedy,Family
4270;Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Oded Fehr;Stephen Sommers;;Action,Adventure,Drama,Fantasy,Horror,Thriller
4271;Kōji Yakusho,Aoi Miyazaki,Masaru Miyazaki,Yôichirô Saitô,Sayuri Kokushô;Shinji Aoyama;Shinji Aoyama;Drama,Foreign
4272;Denis Lavant,Philippe Clay,Terrence Gillespie,E.J. Callahan,Djoko Rosic;Veit Helmer;;Fantasy,Drama,Comedy,Sci-Fi,Romance,Family,Foreign
4273;Charlotte Rampling,Bruno Cremer,Jacques Nolot,Alexandra Stewart,Pierre Vernier;François Ozon;;Drama,Mystery
4274;Elizabeth Taylor,Richard Burton,Rex Harrison,Roddy McDowall,Martin Landau;Joseph L. Mankiewicz,Rouben Mamoulian,Darryl F. Zanuck;;Drama,History,Romance
4275;Ken Marshall,Lysette Anthony,Francesca Annis,Alun Armstrong,David Battley;Peter Yates;;Fantasy,Action,Adventure
4276;Albert Brooks,Julie Hagerty,Sylvia Farrel,Tina Kincaid,Candy Ann Brown;Albert Brooks;Albert Brooks,Monica Mcgowan Johnson;Comedy
4277;Bessie Love,Lewis Stone,Wallace Beery,Lloyd Hughes,Alma Bennett;Harry O. Hoyt,Milton Menasco;;Adventure,Drama,Fantasy,Sci-Fi
4278;Adolf Hitler,Max Amann,Hermann Göring,Martin Bormann,Hans Frank;Leni Riefenstahl;;Documentary,Foreign
4279;James Woods,Robert Downey Jr.,Margaret Colin,Yuji Okumoto,Kurtwood Smith;Joseph Ruben;Wesley Strick;Crime,Drama
4280;Robin Williams,Mary Beth Hurt,Glenn Close,John Lithgow,Hume Cronyn;George Roy Hill;;Drama,Comedy
4281;Ewa Aulin,Charles Aznavour,Marlon Brando,Richard Burton,James Coburn;Christian Marquand;;Fantasy,Comedy,Adventure
4282;Martin Potter,Hiram Keller,Max Born,Salvo Randone,Mario Romagnoli;Federico Fellini;;Drama,Fantasy
4283;Peter Gonzales Falcon,Fiona Florence,Pia De Doses,Marne Maitland,Renato Giovannoli;Federico Fellini;;Comedy,Drama
4284;Elvis Presley,Donna Douglas,Harry Morgan,Nancy Kovack,Robert Strauss;Frederick de Cordova;;Comedy,Drama,Music,Romance
4285;Michelle Pfeiffer,Al Pacino,Héctor Elizondo,Kate Nelligan,Nathan Lane;Garry Marshall;;Drama,Comedy,Romance
4286;Edward Furlong,Kathy Bates,T.J. Lowther,Soon-Tek Oh,Clarissa Lassig;Tony Bill;Patrick Sheane Duncan;Comedy,Drama
4287;Audrey Hepburn,William Holden,Grégoire Aslan,Raymond Bussières,Tony Curtis;Richard Quine;;Comedy,Romance
4288;Guillaume Depardieu,Yekaterina Golubeva,Catherine Deneuve,Delphine Chuillot,Laurent Lucas;Leos Carax;Leos Carax,Jean-Pol Fargeau,Lauren Sedofsky;Drama,Romance
4289;Marcello Mastroianni,Anna Prucnal,Bernice Stegers,Donatella Damiani,Jole Silvani;Federico Fellini;Federico Fellini,Bernardino Zapponi;Comedy,Drama
4290;Bette Midler,James Caan,George Segal,Bud Yorkin,Arye Gross;Mark Rydell;;Music,Drama
4291;Jane Fonda,Lily Tomlin,Dolly Parton,Dabney Coleman,Sterling Hayden;Colin Higgins;;Comedy
4292;Sally Field,Beau Bridges,Ron Leibman,Pat Hingle,Barbara Baxley;Martin Ritt;;Drama
4293;John Candy,Karen Austin,Kerri Green,Joey Lawrence,Aubrey Jene;Carl Reiner;Jeremy Stevens,Mark Reisman;Comedy
4294;Peter Lind Hayes,Mary Healy,Hans Conried,Tommy Rettig,Tony Butala;Roy Rowland;;Family,Fantasy,Music
4295;Dennis Hopper,Jodie Foster,Dean Stockwell,Vincent Price,John Turturro;Dennis Hopper,Alan Smithee;Rachel Kronstadt Mann;Drama,Action,Thriller,Romance
4296;Ali MacGraw,Ryan O'Neal,John Marley,Ray Milland,Russell Nype;Arthur Hiller;;Drama,Romance
4297;Pelle Hvenegaard,Max von Sydow,Erik Paaske,Björn Granath,Kristina Törnqvist;Bille August;;Drama,Foreign
4298;Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,Magali Noël;Jules Dassin;;Drama,Action,Crime
4299;Heath Ledger,Rufus Sewell,Shannyn Sossamon,Paul Bettany,Laura Fraser;Brian Helgeland;Brian Helgeland;Adventure,Drama,Romance,Action
4300;Pilar Padilla,Adrien Brody,Jack McGee,Monica Rivas,Frankie Davila;Ken Loach;Paul Laverty;Comedy,Drama
4301;Michel Camilo,Tito Puente,Arturo O'Farrill;Fernando Trueba;Fernando Trueba;Documentary,Music,Foreign
4302;Romane Bohringer,David Calder,Jennifer Jason Leigh,David Bradley,Brion James;Kristian Levring;;Drama
4303;Olivia Newton-John,Kirk Geiger,Sarah Hunley,Newell Alexander,Beau Bridges;Del Shores;Del Shores;Comedy
4304;;Chris Hegedus,Jehane Noujaim;;Documentary
4305;Jennifer Lopez,Jim Caviezel,Jeremy Sisto,Terrence Howard,Sônia Braga;Luis Mandoki;;Drama,Romance,Thriller
4306;Mike Myers,Eddie Murphy,Cameron Diaz,John Lithgow,Vincent Cassel;Andrew Adamson,Vicky Jenson;;Adventure,Animation,Comedy,Family,Fantasy
4307;Anna Thomson;Amos Kollek;;Comedy,Romance
4308;Nicole Kidman,Ewan McGregor,John Leguizamo,Jim Broadbent,Richard Roxburgh;Baz Luhrmann;;Romance,Drama,Music
4309;Stéphanie Touly,Iliès Sefraoui,Mustapha Goumane,Nassim Izem,Rachid Mansouri;Jacques Doillon;Jacques Doillon;Drama,Foreign
4310;Ben Affleck,Josh Hartnett,Kate Beckinsale,Cuba Gooding Jr.,Jon Voight;Michael Bay;;History,Romance,War
4311;Reidar Sørensen,Jon Øigarden,Gaute Skjegstad,Trond Hovik,Stig Henrik Hoff;Karin Julsrud;;Thriller,Drama
4312;Thilen Lhondup,Gurgon Kyap,Lhakpa Tsamchoe,Karma Tensing Nyima Lama,Karma Wangiel;Eric Valli;;Drama
4313;Christina Ricci,Johnny Depp,Cate Blanchett,John Turturro,Harry Dean Stanton;Sally Potter;Sally Potter;Drama,Music,Romance,War
4314;Kerry Washington,Anna Simpson,Rosalyn Coleman,Melissa Martinez;Jim McKay;Jim McKay;Drama
4315;;;;Comedy,Drama,Romance
4316;Robby Benson,Lynn-Holly Johnson,Colleen Dewhurst,Tom Skerritt,Jennifer Warren;Donald Wrye;Donald Wrye,Gary L. Baim;Drama,Romance
4317;Sandra Bullock,Tate Donovan,Anne Bancroft,Blake Clark,Rebecca Staab;Dale Launer;Dale Launer;Comedy,Romance
4318;Meryl Streep,Shirley MacLaine,Dennis Quaid,Gene Hackman,Richard Dreyfuss;Mike Nichols;Carrie Fisher;Comedy,Drama
4319;Burt Lancaster,Jean Peters,John McIntire,Charles Bronson,John Dehner;Robert Aldrich;James R. Webb;Action,Western
4320;Paul Newman,Joel Grey,Harvey Keitel,Kevin McCarthy,Allan F. Nicholls;Robert Altman;;Western,Comedy
4321;Billy Crystal,Daniel Stern,Bruno Kirby,Jack Palance,Patricia Wettig;Ron Underwood;;Action,Adventure,Comedy,Drama,Western
4322;John Cusack,Christopher Lloyd,Charlie Sheen,D. B. Sweeney,Clifton James;John Sayles;Eliot Asinof;Drama,History
4323;John Wayne,William Holden,Constance Towers,Judson Pratt,Hoot Gibson;John Ford;;Adventure,Action,Western,War
4324;Burt Lancaster,Dianne Foster,Diana Lynn,John McIntire,Una Merkel;Burt Lancaster;;Action,Western
4325;Marcello Mastroianni,Jeanne Moreau,Monica Vitti,Bernhard Wicki,Rosy Mazzacurati;Michelangelo Antonioni;;Drama
4326;Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,R. Lee Ermey;Alan Parker;;Thriller,Crime,Drama
4327;Yul Brynner,Eli Wallach,Steve McQueen,Charles Bronson,Robert Vaughn;John Sturges;;Action,Adventure,Western
4328;Yul Brynner,Robert Fuller,Julián Mateos,Warren Oates,Claude Akins;Burt Kennedy;;Action,Western
4329;John Wayne,Dean Martin,Ricky Nelson,Walter Brennan,Angie Dickinson;Howard Hawks;;Drama,Romance,Western
4330;Marlene Dietrich,John Lodge,Sam Jaffe,Louise Dresser,C. Aubrey Smith;Josef von Sternberg;Catherine II,Manuel Komroff;History,Drama,Romance
4331;Burt Reynolds,Kris Kristofferson,Jill Clayburgh,Robert Preston,Bert Convy;Michael Ritchie;;Comedy,Drama,Romance
4332;Cher,Dennis Quaid,Liam Neeson,John Mahoney,Joe Mantegna;Peter Yates;;Crime,Drama,Thriller
4333;Danny DeVito,Billy Crystal,Kim Greist,Anne Ramsey,Kate Mulgrew;Danny DeVito;;Crime,Comedy
4334;Wu Nien-Jen,Elaine Jin,Issei Ogata,Kelly Lee,Jonathan Chang;Edward Yang;Edward Yang;Drama,Music,Romance
4335;Michael J. Fox,David Naughton,Stephen Furst,Maggie Roswell,Eddie Deezen;Michael Nankin,David Wechter;;Comedy,Family
4336;Nikolaj Coster-Waldau,Kim Bodnia,Rikke Louise Andersson,Ulf Pilgaard,Lotte Andersen;Ole Bornedal;;Horror,Thriller
